ID	mu	sigma
2114	71.052	3.774
2115	70.353	3.695
2117	65.071	3.958
2122	66.484	3.591
2123	62.732	3.496
2125	63.756	3.738
2128	63.796	3.694
2129	68.78	3.648
2130	69.072	3.522
2131	69.055	3.552
2132	67.017	3.639
2133	53.854	3.505
2134	68.586	3.825
2135	62.126	3.943
2136	69.525	3.623
2137	66.196	3.681
2138	66.272	3.604
2139	64.359	3.968
2140	60.827	3.496
2149	61.416	3.717
2150	65.447	3.594
2151	65.927	3.542
2152	64.84	3.44
2153	61.096	3.475
2154	64.491	3.309
2155	62.927	3.549
2156	59.321	3.669
2160	68.619	3.766
2161	62.863	3.754
2162	67.081	3.608
2176	54.939	3.289
2177	57.431	3.039
2178	62.15	3.349
2179	58.334	3.16
2181	53.526	3.574
2186	57.344	3.035
2187	0	0
2189	56.682	3.039
2192	54.872	3.387
2193	64.948	3.454
2194	70.356	3.804
2195	64.999	3.514
2196	58.781	3.492
2197	57.901	3.057
2198	66.077	3.514
2199	56.964	2.833
2200	68.464	3.254
2201	58.059	2.939
2202	59.112	3.018
2203	63.163	3.513
2204	57.674	3.541
2213	53.666	3.096
2214	55.059	3.092
2215	59.157	3.024
2216	59.311	2.944
2217	59.98	2.862
2218	58.377	2.911
2219	58.729	3.031
2220	53.053	3.33
2224	55.989	3.015
2225	57.051	3.258
2226	58.775	3.116
2240	30.535	2.593
2242	25.332	2.319
2244	29.483	2.02
2246	27.677	2.06
2248	32.502	2.059
2250	30.447	2.093
2251	27.779	2.066
2252	28.787	1.987
2253	0	0
2254	29.874	2.034
2255	32.6	2.052
2256	31.301	1.948
2257	31.022	2.036
2258	29.675	2.004
2259	31.53	2.124
2261	29.542	2.23
2269	25.192	1.937
2270	23.002	2.453
2271	25.07	1.909
2272	26.097	1.787
2273	26.438	2.099
2274	25.744	1.898
2275	25.805	2.225
2276	28.292	2.178
2292	27.13	2.414
2294	29.023	2.019
2295	29.121	1.936
2296	31.864	2.105
2297	31.838	2.115
2298	28.296	1.991
2299	29.868	2.139
2301	24.787	2.659
2304	30.282	2.534
2306	19.458	2.876
2308	20.492	2.212
2310	21.472	2.141
2312	31.722	2.594
2314	21.102	2.076
2315	19.469	3.004
2316	21.173	1.993
2317	22.287	1.943
2318	20.35	2.017
2319	32.932	2.496
2320	32.398	2.318
2321	33.44	2.573
2322	33.191	2.731
2323	32.986	3.07
2325	29.47	2.587
2333	24.34	2.514
2334	22.702	3.217
2335	25.499	3.177
2336	25.328	3.051
2337	24.907	3.219
2338	25.314	3.194
2339	23.676	3.228
2340	25.45	3.221
2356	36.015	2.609
2358	38.454	2.386
2359	38.077	2.637
2360	38.882	2.608
2361	38.595	2.61
2362	36.847	2.446
2363	37.643	2.545
2365	36.234	2.697
2368	21.478	2.215
2369	20.52	2.066
2370	19.718	2.318
2371	21.114	1.996
2373	18.735	2.766
2378	21.523	2.237
2379	21.513	2.258
2381	21.264	2.145
2384	49.468	3.357
2385	53.686	3.221
2386	54.021	3.37
2387	53.204	3.184
2388	54.293	3.613
2389	18.787	2.375
2390	54.668	3.388
2391	20.927	2.028
2392	53.159	3.471
2393	22.92	2.327
